Source,Target,Label,ID,Type,Weight
6,86,'taali',,,
5,86,'taali',,,
20,84,'taali',,,
14,88,'taali',,,
13,82,'taali',,,
2,82,'taali',,,
8,88,'taali',,,
17,87,'taali',,,
15,81,'taali',,,
11,[],'taali',,,
19,82,'taali',,,
18,87,'taali',,,
24,79,'taali',,,
21,[],'taali',,,
7,86,'taali',,,
4,[],'taali',,,
12,[],'taali',,,
9,[],'taali',,,
16,[],'taali',,,
22,[],'taali',,,
23,[],'taali',,,
10,[],'taali',,,
3,[],'taali',,,
1,86,'taali',,,
6,[],'taali',,,
5,[],'taali',,,
20,[],'taali',,,
14,[],'taali',,,
13,86,'taali',,,
2,[],'taali',,,
8,[],'taali',,,
17,[],'taali',,,
15,[],'taali',,,
11,[],'taali',,,
19,[],'taali',,,
18,[],'taali',,,
24,81,'taali',,,
21,[],'taali',,,
7,[],'taali',,,
4,[],'taali',,,
12,[],'taali',,,
9,[],'taali',,,
16,[],'taali',,,
22,[],'taali',,,
23,[],'taali',,,
10,[],'taali',,,
3,[],'taali',,,
1,[],'taali',,,
6,[],'taali',,,
5,[],'taali',,,
20,[],'taali',,,
14,[],'taali',,,
13,88,'taali',,,
2,[],'taali',,,
8,[],'taali',,,
17,[],'taali',,,
15,[],'taali',,,
11,[],'taali',,,
19,[],'taali',,,
18,[],'taali',,,
24,82,'taali',,,
21,84,'khali',,,
7,78,'khali',,,
4,79,'khali',,,
12,80,'khali',,,
9,81,'khali',,,
16,76,'khali',,,
22,[],'khali',,,
23,84,'khali',,,
10,83,'khali',,,
3,[],'khali',,,
1,80,'khali',,,
6,83,'khali',,,
5,83,'khali',,,
20,78,'khali',,,
14,84,'khali',,,
13,78,'khali',,,
2,80,'khali',,,
8,84,'khali',,,
17,83,'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,88,'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,82,'khali',,,
4,[],'khali',,,
12,[],'khali',,,
9,[],'khali',,,
16,[],'khali',,,
22,[],'khali',,,
23,[],'khali',,,
10,[],'khali',,,
3,[],'khali',,,
1,84,'khali',,,
6,[],'khali',,,
5,[],'khali',,,
20,82,'khali',,,
14,[],'khali',,,
13,84,'khali',,,
2,[],'khali',,,
8,[],'khali',,,
17,[],'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,[],'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,[],'khali',,,
4,[],'khali',,,
12,[],'khali',,,
9,[],'khali',,,
16,[],'khali',,,
22,[],'khali',,,
23,[],'khali',,,
10,[],'khali',,,
3,[],'khali',,,
1,86,'khali',,,
6,[],'khali',,,
5,[],'khali',,,
20,[],'khali',,,
14,[],'khali',,,
13,[],'khali',,,
2,[],'khali',,,
8,[],'khali',,,
17,[],'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,[],'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,[],'khali',,,
4,[],'khali',,,
12,[],'khali',,,
9,[],'khali',,,
16,[],'khali',,,
22,[],'khali',,,
23,[],'khali',,,
10,[],'khali',,,
3,[],'khali',,,
1,[],'khali',,,
6,[],'khali',,,
5,[],'khali',,,
20,[],'khali',,,
14,[],'khali',,,
13,[],'khali',,,
2,[],'khali',,,
8,[],'khali',,,
17,[],'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,[],'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,[],'khali',,,
4,[],'khali',,,
12,[],'khali',,,
9,[],'khali',,,
16,[],'khali',,,
22,[],'khali',,,
23,[],'khali',,,
10,[],'khali',,,
3,[],'khali',,,
1,[],'khali',,,
6,[],'khali',,,
5,[],'khali',,,
20,[],'khali',,,
14,[],'khali',,,
13,[],'khali',,,
2,[],'khali',,,
8,[],'khali',,,
17,[],'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,[],'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,[],'khali',,,
4,[],'khali',,,
12,[],'khali',,,
9,[],'khali',,,
16,[],'khali',,,
22,[],'khali',,,
23,[],'khali',,,
10,[],'khali',,,
3,[],'khali',,,
1,[],'khali',,,
6,[],'khali',,,
5,[],'khali',,,
20,[],'khali',,,
14,[],'khali',,,
13,[],'khali',,,
2,[],'khali',,,
8,[],'khali',,,
17,[],'khali',,,
15,[],'khali',,,
11,[],'khali',,,
19,[],'khali',,,
18,[],'khali',,,
24,[],'khali',,,
21,[],'khali',,,
7,[],'khali',,,
4,[],'khali',,,
12,[],'khali',,,
